"atlas_rank","id","name","institution","research_area","research_influence_index","citations","h_index","citations_to_2023_2025_publications","indexed_works","identity_status","openalex_author","profile_source","snapshot_date"
"132","nita-farahany","Nita Farahany","Duke University","personal","12.8","1541","17","310","64","verified","https://openalex.org/A5046014851","https://scienceandsociety.duke.edu/about-us/people/faculty-governance/nita-farahany-jd-phd/","2026-09-15"
"133","shlomi-haar","Shlomi Haar","Imperial College London","compute","12.7","2724","21","135","88","verified","https://openalex.org/A5037584185","https://www.imperial.ac.uk/people/s.haar","2026-09-15"
"134","benjamin-rapoport","Benjamin Rapoport","Precision Neuroscience (co-founder)","translation","11.6","1529","17","254","71","verified","https://openalex.org/A5023009206","https://www.precisionneuro.io/our-vision","2026-09-15"
"135","paul-le-floch","Paul Le Floch","Axoft (co-founder); Harvard doctoral training","translation","8.5","1361","11","193","29","verified","https://openalex.org/A5005546087","https://seas.harvard.edu/news/2024/01/long-lasting-neural-probe","2026-09-15"
"136","paul-yoo","Paul Yoo","University of Toronto","stimulate","7.9","1623","22","40","84","verified","https://openalex.org/A5031279146","https://bme.utoronto.ca/faculty-research/core-faculty/paul-yoo/","2026-09-15"
"137","jerzy-szablowski","Jerzy Szablowski","Rice University","stimulate","5.3","1136","15","86","89","verified","https://openalex.org/A5030593970","https://profiles.rice.edu/faculty/jerzy-szablowski","2026-09-15"
"138","zhengtuo-zhao","Zhengtuo Zhao","StairMed (co-founder); UT Austin / Rice training","record","5.2","1482","14","67","33","verified","https://openalex.org/A5079704131","https://people.ucas.ac.cn/~zhaozt","2026-09-15"
"139","saskia-hendriks","Saskia Hendriks","NIH BRAIN Initiative","personal","5","713","15","91","47","verified","https://openalex.org/A5086378659","https://braininitiative.nih.gov/research/neuroethics","2026-09-15"
"140","jorn-rickert","Jörn Rickert","CorTec (founder; historical context)","translation","3.6","1265","11","51","26","verified","https://openalex.org/A5114012478","https://news.vm.uni-freiburg.de/de/newsarchiv/biomolekuele-kopieren-gehirnaktivitaet-messen","2026-09-15"
"141","jessica-butts","Jessica Butts","Rice University","record","2.9","638","13","77","28","verified","https://openalex.org/A5102853627","https://profiles.rice.edu/faculty/jessica-butts","2026-09-15"
"142","matt-angle","Matt Angle","Paradromics (founder)","translation","2.7","831","11","46","18","verified","https://openalex.org/A5033584350","https://paradromics.com/company/","2026-09-15"
"143","nikunj-bhagat","Nikunj Bhagat","Indian Institute of Technology Kanpur","restore","1.2","665","10","39","31","verified","https://openalex.org/A5033421236","https://www.iitk.ac.in/bsbe/index.php/nikunj-bhagat","2026-09-15"
"","alberto-priori","Alberto Priori","Newronika (co-founder)","stimulate","","","","","","unresolved","","https://newronika.com/about","2026-09-15"
"","alim-louis-benabid","Alim-Louis Benabid","Clinatec / Grenoble Alpes University","stimulate","","12640","54","","177","verified","https://openalex.org/A5111660937","https://www.clinatec.fr/en/","2026-09-15"
"","andrew-jackson","Andrew Jackson","Newcastle University","stimulate","","","","","","ambiguous","","https://www.ncl.ac.uk/medical-sciences/people/profile/andrewjackson.html","2026-09-15"
"","andrew-wilder","Andrew Wilder","Ripple Neuro (company biography)","compute","","","","","","unresolved","","https://rippleneuro.com/about-ripple-neuro/","2026-09-15"
"","brian-litt","Brian Litt","University of Pennsylvania","stimulate","","","","","","unresolved","","https://www.med.upenn.edu/apps/faculty/index.php/g324/p6213","2026-09-15"
"","charles-lieber","Charles Lieber","Tsinghua Shenzhen International Graduate School","record","","139434","166","","578","verified","https://openalex.org/A5084836278","https://www.sigs.tsinghua.edu.cn/Lieber/main.psp","2026-09-15"
"","craig-cook","Craig Cook","ABILITY Neurotech (2025 co-founder appointment)","translation","","","","","","unresolved","","https://wysscenter.ch/update/craig-cook-appointed-cbo/","2026-09-15"
"","dezhong-yao","Dezhong Yao","University of Electronic Science and Technology of China","compute","","","","","","unresolved","","https://faculty.uestc.edu.cn/yaodezhong/en/index.htm","2026-09-15"
"","fangang-zeng","Fan-Gang Zeng","University of California, Irvine / Nurotron (co-founder)","restore","","","","","","unresolved","","https://scholarconnect.uci.edu/fzeng","2026-09-15"
"","graeme-clark","Graeme Clark","University of Melbourne (historical research context)","restore","","","","","","unresolved","","https://www.cochlear.com/us/en/about-us/proven-over-time","2026-09-15"
"","hanchuan-peng","Hanchuan Peng","Southeast University","compute","","","","","","unresolved","","https://penglab.com/","2026-09-15"
"","hong-bo","Hong Bo","Tsinghua University (NEO research team; 2024 account)","record","","","","","","unresolved","","https://www.tsinghua.edu.cn/info/1175/109595.htm","2026-09-15"
"","hongkun-park","Hongkun Park","Harvard University (Park Group; 2024 account)","record","","","","","","unresolved","","https://seas.harvard.edu/news/2024/01/long-lasting-neural-probe","2026-09-15"
"","honglai-xu","Honglai Xu / 胥红来","Neuracle (founder; June 2026 filing)","translation","","","","","","unresolved","","https://static.sse.com.cn/stock/disclosure/announcement/c/202606/002198_20260611_0RN0.pdf","2026-09-15"
"","jerry-chen","Jerry Chieh-Hsiao Chen","Brain Navi Biotechnology (founder)","translation","","","","","","unresolved","","https://brainnavi.com/zh/naotrac-fda-clearance/","2026-09-15"
"","jia-liu","Jia Liu","Harvard University / Axoft (co-founder; 2024 account)","record","","","","","","ambiguous","https://openalex.org/A5100409757","https://seas.harvard.edu/news/2024/01/long-lasting-neural-probe","2026-09-15"
"","john-parker","John Parker","Saluda Medical (founder; historical context)","stimulate","","","","","","unresolved","","https://www.saludamedical.com/press-releases/saluda-medical-announces-executive-leadership-changes/","2026-09-15"
"","jonathan-moreno","Jonathan Moreno","University of Pennsylvania","personal","","","","","","ambiguous","","https://neuroethics.upenn.edu/","2026-09-15"
"","jose-millan","José del R. Millán","University of Texas at Austin","compute","","","","","","ambiguous","https://openalex.org/A5050363894","https://bme.utexas.edu/people/faculty-directory/millan","2026-09-15"
"","jose-carmena","José M. Carmena","University of California, Berkeley","restore","","","","","","unresolved","","https://vcresearch.berkeley.edu/node/14341","2026-09-15"
"","justin-williams","Justin Williams","University of Wisconsin–Madison (2022 account)","record","","","","","","unresolved","","https://engineering.wisc.edu/blog/hagness-williams-selected-as-national-academy-of-inventors-fellows/","2026-09-15"
"","phoenix-peng","Lei Peng / Phoenix Peng","NeuroXess (co-founder)","translation","","","","","","unresolved","","https://wp.neuroxess.com/2022/01/11/neuroxess-raised-cny97-million-in-an-angel-round-and-pre-series-a-round/","2026-09-15"
"","lorenzo-rossi","Lorenzo Rossi","Newronika (co-founder)","stimulate","","","","","","unresolved","","https://newronika.com/about","2026-09-15"
"","luming-li","Luming Li","Tsinghua University (DBS research team; 2019 account)","stimulate","","","","","","unresolved","","https://www.tsinghua.edu.cn/info/1368/81748.htm","2026-09-15"
"","marcus-gerhardt","Marcus Gerhardt","Blackrock Neurotech (co-founder)","translation","","","","","","unresolved","","https://blackrockneurotech.com/our-story/","2026-09-15"
"","masayuki-hirata","Masayuki Hirata","Osaka research / JiMED (founder)","record","","","","","","unresolved","","https://www.kyoto-unicap.co.jp/embark/36-jimed/","2026-09-15"
"","michael-jordan","Michael I. Jordan","MIT (historical laboratory context)","compute","","","","","","unresolved","","https://sabes.ucsf.edu/","2026-09-15"
"","miguel-nicolelis","Miguel Nicolelis","Duke University (emeritus)","restore","","30910","87","","340","verified","https://openalex.org/A5048735359","https://scholars.duke.edu/person/nicoleli","2026-09-15"
"","charles-garell","P. Charles Garell","University of Wisconsin–Madison (historical collaboration)","translation","","","","","","unresolved","","https://engineering.wisc.edu/blog/hagness-williams-selected-as-national-academy-of-inventors-fellows/","2026-09-15"
"","peng-cao","Peng Cao / 曹鹏","Genlight Neurotech (founder)","translation","","","","","","unresolved","","https://www.hzctxh.com/article/532","2026-09-15"
"","peter-blamey","Peter Blamey","Bionics Institute","restore","","7378","46","","244","verified","https://openalex.org/A5089168733","https://www.bionicsinstitute.org/our-people/peter-blamey/","2026-09-15"
"","philip-sabes","Philip Sabes","UCSF (retired in 2017) / Neuralink (founding-team context)","record","","","","","","unresolved","","https://sabes.ucsf.edu/","2026-09-15"
"","ralph-etienne-cummings","Ralph Etienne-Cummings","Johns Hopkins University","record","","","","","","unresolved","","https://engineering.jhu.edu/ece/faculty/ralph-etienne-cummings/","2026-09-15"
"","richard-normann","Richard Normann","University of Utah (emeritus; 2024 account)","record","","","","","","ambiguous","https://openalex.org/A5064988221","https://www.price.utah.edu/2024/07/25/brain-trust-a-qa-with-florian-solzbacher","2026-09-15"
"","robert-fischell","Robert Fischell","NeuroPace (founder; historical context)","translation","","","","","","unresolved","","https://bioe.umd.edu/about/meet-the-fischells","2026-09-15"
"","robert-shepherd","Robert Shepherd","Bionics Institute (research career context)","restore","","","","","","unresolved","","https://www.bionicsinstitute.org/about/professor-robert-shepherd-am/","2026-09-15"
"","rotem-kopel","Rotem Kopel","ABILITY Neurotech (co-founder)","translation","","563","8","","9","verified","https://openalex.org/A5067433442","https://abilityneuro.com/team/","2026-09-15"
"","sara-marceglia","Sara Marceglia","Newronika (co-founder)","stimulate","","","","","","unresolved","","https://newronika.com/about","2026-09-15"
"","scott-hiatt","Scott Hiatt","Ripple Neuro (company biography)","stimulate","","","","","","unresolved","","https://rippleneuro.com/about-ripple-neuro/","2026-09-15"
"","tao-hu","Tao Hu / Tiger H. Tao","Shanghai Institute of Microsystem and Information Technology / NeuroXess (2022 account)","record","","","","","","unresolved","","https://www.neuroxess.com/about/","2026-09-15"
"","tao-zhou-neuramatrix","Tao Zhou / 周涛","Beijing NeuraMatrix (co-founder; March 2026 account)","translation","","","","","","unresolved","","https://www.zgcforum.com/zh2026/news/forum/963039","2026-09-15"
"","thomas-stieglitz","Thomas Stieglitz","University of Freiburg","record","","","","","","ambiguous","","https://www.imtek.uni-freiburg.de/laboratories/biomedical-microtechnology/contact","2026-09-15"
"","tianyang-ye","Tianyang Ye","Axoft (co-founder); Harvard graduate and postdoctoral training","record","","","","","","unresolved","","https://seas.harvard.edu/news/2024/01/long-lasting-neural-probe","2026-09-15"
"","timothy-brown","Timothy Brown","University of Washington","personal","","","","","","ambiguous","","https://phil.washington.edu/people/timothy-emmanuel-brown","2026-09-15"
"","vanessa-tolosa","Vanessa Tolosa","Precision Neuroscience (June 2025 appointment)","record","","","","","","unresolved","","https://www.precisionneuro.io/our-vision","2026-09-15"
"","winfried-denk","Winfried Denk","Max Planck Institute","record","","43008","83","","204","verified","https://openalex.org/A5020934124","https://www.neuro.mpg.de/denk","2026-09-15"
"","xilin-liu","Xilin Liu","University of Toronto","restore","","","","","","ambiguous","","https://www.ece.utoronto.ca/people/liu-x/","2026-09-15"
"","xue-li","Xue Li","StairMed (co-founder)","record","","","","","","ambiguous","https://openalex.org/A5100372263","https://www.chongxie.net/team","2026-09-15"
"","yihua-ning","Yihua Ning / 宁益华","SceneRay (founder)","translation","","","","","","unresolved","","https://www.isam-hamburg.com/wp-content/uploads/2025/04/ISAM-GATID-2025-Speakers-and-Abstracts.pdf","2026-09-15"
